paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
adit,BASE,7,3006077,3,2,NaZr2RuF11,"('F', 'Na', 'Ru', 'Zr')",0.2118683314137746,0.6207695799741055,P1,1,15,3.8093523453200087,NaZr2RuF11,False
mg,BASE,23,3006085,1,11,Li13Mg3,"('Li', 'Mg')",1.0,2.0,Amm2,38,16,0.8460228539521425,Li13Mg3,False
mg,BASE,23,3006085,2,18,Li13Mg3Al2,"('Al', 'Li', 'Mg')",0.9569687716421804,1.9246953503738158,P1,1,18,1.0588964889444235,Li13Mg3Al2,False
mg,BASE,23,3006085,3,17,Li7(MgAl)2,"('Al', 'Li', 'Mg')",0.8168424060436287,1.6794742105763503,C2/m,12,11,1.2511592068060056,Li7(MgAl)2,False
mg,ACC,23,3006086,1,19,Li4Mg,"('Li', 'Mg')",1.0,2.0,I4/mmm,139,5,0.8693280298435607,Li4Mg,False
mg,ACC,23,3006086,2,6,Li5V3O8,"('Li', 'O', 'V')",0.4289299093005929,1.0006273412760376,C2/m,12,16,3.5932476985335,Li5V3O8,False
mg,ACC,23,3006086,3,10,Al7Ga2,"('Al', 'Ga')",0.2380587641368943,0.666602837239565,C2/m,12,9,3.6004827229170124,Al7Ga2,False
cf,BASE,23,3006087,1,16,Li5Mn3O7F,"('F', 'Li', 'Mn', 'O')",0.4153095027380707,0.9767916297916237,P1,1,16,3.764023910865919,Li5Mn3O7F,False
cf,BASE,23,3006087,2,15,K2NaCu2F7,"('Cu', 'F', 'K', 'Na')",0.2872486104202353,0.7526850682354118,P1,1,12,2.9232279355836934,K2NaCu2F7,False
cf,BASE,23,3006087,3,11,Mn3(OF2)2,"('F', 'Mn', 'O')",0.2675269370482341,0.7181721398344096,P1,1,18,4.13318831457751,Mn3(OF2)2,False
adit,ACC,23,3006090,1,4,LiMg2,"('Li', 'Mg')",0.5907748486451447,1.2838559851290032,Ama2,40,6,1.4374722976027494,LiMg2,False
adit,ACC,23,3006090,2,19,Li3Ga2,"('Ga', 'Li')",0.2770516370948805,0.7348403649160409,C2/m,12,5,3.257115210668104,Li3Ga2,False
adit,ACC,23,3006090,3,0,V3(O2F)2,"('F', 'O', 'V')",0.2606343849666753,0.7061101736916817,P1,1,18,4.1101057311930465,V3(O2F)2,False
mg,BASE,113,3006097,1,17,Li7Mg3,"('Li', 'Mg')",0.9523307508732308,1.9165788140281539,P1,1,20,0.9862891654684831,Li7Mg3,False
mg,BASE,113,3006097,2,12,Li5Mg3,"('Li', 'Mg')",0.8491148663033051,1.735951016030784,Amm2,38,8,1.0723531007302756,Li5Mg3,False
mg,BASE,113,3006097,3,19,Li7Mg5,"('Li', 'Mg')",0.8024486612077287,1.6542851571135253,C2/m,12,12,1.142290204311387,Li7Mg5,False
mg,ACC,113,3006098,1,0,Li3Mg2Fe3O8,"('Fe', 'Li', 'Mg', 'O')",0.3481606981972059,0.8592812218451104,C2/m,12,16,4.025729764585735,Li3Mg2Fe3O8,False
mg,ACC,113,3006098,2,13,Li3Ga2Sn,"('Ga', 'Li', 'Sn')",0.147005024075904,0.507258792132832,Cc,9,12,4.288495290823368,Li3Ga2Sn,False
mg,ACC,113,3006098,3,8,Sc5Zn,"('Sc', 'Zn')",0.1430719563702917,0.5003759236480104,P4/mmm,123,6,3.5111620347935473,Sc5Zn,False
