paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
cf,ACC,7,3006082,3,18,ZnCr2Ni5,"('Cr', 'Ni', 'Zn')",0.4146277780253349,177.55855564962727,Pmm2,25,8,8.594129246030054,ZnCr2Ni5,False
adit,BASE,7,3006083,1,11,TiWN3,"('N', 'Ti', 'W')",0.6690050821814237,274.221931228941,Imm2,44,5,8.09899179868787,TiWN3,False
adit,BASE,7,3006083,2,1,V6O11F,"('F', 'O', 'V')",0.5206630599964268,217.85196279864218,P1,1,18,4.377335252044003,V6O11F,False
adit,BASE,7,3006083,3,18,LuIrOs,"('Ir', 'Lu', 'Os')",0.5154939983906124,215.8877193884327,Imma,74,6,17.432924611528662,LuIrOs,False
adit,ACC,7,3006084,1,6,MoN,"('Mo', 'N')",0.9347042033535355,375.1875972743435,P-6m2,187,8,8.892162377093733,MoN,False
adit,ACC,7,3006084,2,3,IrPt3,"('Ir', 'Pt')",0.648281836309628,266.34709779765865,Imm2,44,4,20.796169766211065,IrPt3,False
adit,ACC,7,3006084,3,14,Li3V3(WO6)2,"('Li', 'O', 'V', 'W')",0.4822059623318985,203.23826568612142,P1,1,20,5.716041737410054,Li3V3(WO6)2,False
mg,BASE,23,3006091,1,14,Pt4RhW,"('Pt', 'Rh', 'W')",0.6794274959154517,278.18244844787165,F222,22,12,19.16504618437161,Pt4RhW,False
mg,BASE,23,3006091,2,19,Pt11Rh5,"('Pt', 'Rh')",0.5949631602994753,246.0860009138006,Pmm2,25,16,18.00472396235318,Pt11Rh5,False
mg,BASE,23,3006091,3,15,PdPt4Rh7,"('Pd', 'Pt', 'Rh')",0.5922221392716929,245.0444129232433,Cm,8,12,14.956622786452034,PdPt4Rh7,False
mg,ACC,23,3006092,1,12,PdRuW2,"('Pd', 'Ru', 'W')",0.6616859733229525,271.44066986272196,P4/mmm,123,4,15.489845644864413,PdRuW2,False
mg,ACC,23,3006092,2,3,CrRu2Pt,"('Cr', 'Pt', 'Ru')",0.6279647709448961,258.6266129590605,I-4m2,119,4,13.344716734361002,CrRu2Pt,False
mg,ACC,23,3006092,3,11,V6OsPt,"('Os', 'Pt', 'V')",0.5575507080060257,231.86926904228977,Pm-3,200,8,10.343832946413675,V6OsPt,False
cf,ACC,23,3006094,1,2,VPdPt,"('Pd', 'Pt', 'V')",0.5201222468881733,217.64645381750586,Imm2,44,3,13.256117631538325,VPdPt,False
cf,ACC,23,3006094,2,8,NbMoP2,"('Mo', 'Nb', 'P')",0.4751867695664838,200.57097243526385,Imm2,44,4,6.7775957630311785,NbMoP2,False
cf,ACC,23,3006094,3,8,AlV2Ni5,"('Al', 'Ni', 'V')",0.4339571763074965,184.90372699684866,Pm,6,8,7.569971770816181,AlV2Ni5,False
adit,BASE,23,3006095,1,14,MoC,"('C', 'Mo')",0.8727598399122442,351.6487391666528,P6_3/mmc,194,8,8.459097332465237,MoC,False
adit,BASE,23,3006095,2,1,Mn(BMo)3,"('B', 'Mn', 'Mo')",0.7326286546402182,298.3988887632829,Cmcm,63,14,8.435502795507013,Mn(BMo)3,False
adit,BASE,23,3006095,3,1,Nb2Re3Ni,"('Nb', 'Ni', 'Re')",0.6387589553421871,262.7284030300311,Cm,8,12,14.00677283148723,Nb2Re3Ni,False
