number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.9148767153905668,2026-05-29 15:37:59.001628,2026-05-29 15:39:32.167764,0 days 00:01:33.166136,0.7031707810405968,0.27953218463315727,10,5,125,1.5592004779335948,0.011114384822711307,1.953969609131142,0.8760988294276582,COMPLETE
11,0.9153315704886481,2026-05-29 15:39:32.168196,2026-05-29 15:40:56.410806,0 days 00:01:24.242610,0.7137827456726563,0.28969232317416627,10,5,125,1.5775705732126288,0.011046564754964586,1.9983757906873774,0.8810796931031994,COMPLETE
12,0.9150675097712904,2026-05-29 15:40:56.411235,2026-05-29 15:42:19.755498,0 days 00:01:23.344263,0.6891391873199937,0.29709644819696446,10,5,125,1.4687846610548618,0.033585884934471955,1.9880571168606025,0.887098392707996,COMPLETE
13,0.917650429805543,2026-05-29 15:42:19.755961,2026-05-29 15:45:08.170029,0 days 00:02:48.414068,0.6966219731921359,0.2859857693271539,10,20,125,1.3081946560316633,0.4970853936108525,1.5282569121934015,0.9077532375130537,COMPLETE
14,0.8958132103784366,2026-05-29 15:45:08.170395,2026-05-29 15:47:49.760436,0 days 00:02:41.590041,0.8251684911568735,0.08331824119251123,9,20,100,1.3030738663862185,0.5776550273562484,1.5573906239022661,0.9601556176358149,COMPLETE
15,0.9090886388077483,2026-05-29 15:47:49.760860,2026-05-29 15:49:36.285272,0 days 00:01:46.524412,0.6626215544454718,0.16322928656744476,9,20,100,1.656053284144789,0.5171080559930545,1.1350636924059634,0.9259592896298856,COMPLETE
16,0.9083296604115825,2026-05-29 15:49:36.285657,2026-05-29 15:53:08.290278,0 days 00:03:32.004621,0.7242757678791986,0.0677485020437437,10,17,150,1.1794377735766108,0.36601679258883857,0.5197688215713852,0.8307796695558711,COMPLETE
17,0.905166031907728,2026-05-29 15:53:08.290713,2026-05-29 15:53:57.036599,0 days 00:00:48.745886,0.8027105027486668,0.2123213031032006,8,8,100,1.15549300711777,0.6424987941241134,1.538211345024044,0.8317924627337946,COMPLETE
18,0.8808801666684815,2026-05-29 15:53:57.036916,2026-05-29 15:54:55.813753,0 days 00:00:58.776837,0.6442893651910143,0.04636063910596914,8,18,150,1.6938016428403593,0.39713355033995856,1.565173137210036,0.9376769262346912,PRUNED
19,0.7842645100450166,2026-05-29 15:54:55.814071,2026-05-29 15:55:10.967205,0 days 00:00:15.153134,0.8530521571049273,0.10207283334001054,3,7,75,1.4302519468464423,0.16958152938775156,1.0198120449782202,0.9980397876498398,PRUNED
20,0.9157448835731412,2026-05-29 15:55:10.967449,2026-05-29 15:56:37.436859,0 days 00:01:26.469410,0.7673790374543065,0.20908603645002555,9,12,150,1.276726081498037,0.6572415663875774,1.384414186813008,0.7912609844821725,COMPLETE
21,0.9171857992504318,2026-05-29 15:56:37.437358,2026-05-29 15:58:37.084250,0 days 00:01:59.646892,0.7550504976248243,0.21663425780641848,10,12,150,1.2631442103074577,0.6687719199000259,1.3888672751372486,0.7828696084364043,COMPLETE
22,0.9152179493068744,2026-05-29 15:58:37.084741,2026-05-29 16:00:07.675061,0 days 00:01:30.590320,0.7698347780875038,0.2179941232353248,9,12,150,1.1114680563752348,0.6899277216401558,1.33980696678904,0.7659668852477796,COMPLETE
23,0.9155261941370657,2026-05-29 16:00:07.675999,2026-05-29 16:02:32.898842,0 days 00:02:25.222843,0.738936151721879,0.1086441805003564,10,13,200,1.3107311919639868,0.4611767557695122,1.451019488860582,0.7157303389020645,COMPLETE
24,0.9134946212199999,2026-05-29 16:02:32.899261,2026-05-29 16:03:53.725961,0 days 00:01:20.826700,0.8023340048458893,0.19631552068882266,9,12,150,0.8282538911917439,0.6258330644002704,1.6409817073383075,0.7927189435164013,COMPLETE
25,0.9100117565080754,2026-05-29 16:03:53.726407,2026-05-29 16:06:13.205238,0 days 00:02:19.478831,0.8965806209551668,0.12195319103393386,8,18,200,1.245983749494677,0.7181165315090264,1.1603513973703077,0.6960571958355273,COMPLETE
26,0.9157255907128465,2026-05-29 16:06:13.208437,2026-05-29 16:07:47.892402,0 days 00:01:34.683965,0.8292843693315708,0.2014845110311453,10,15,125,1.067193799883466,0.53220448141961,1.4010769583666796,0.840984538996504,COMPLETE
27,0.8946989957382065,2026-05-29 16:07:47.892831,2026-05-29 16:08:43.503551,0 days 00:00:55.610720,0.7648259278351222,0.0409756397468511,9,11,175,1.242589992597776,0.4493683107488107,1.0038689996500785,0.7761945861836954,PRUNED
28,0.8430436001142138,2026-05-29 16:08:43.503816,2026-05-29 16:09:01.231824,0 days 00:00:17.728008,0.6911235433464243,0.08568906082534368,6,7,75,0.7970216754796831,0.804349413362166,1.51161233211208,0.8423152663475935,PRUNED
29,0.9093782344714902,2026-05-29 16:09:01.232049,2026-05-29 16:10:03.267601,0 days 00:01:02.035552,0.6432942965624775,0.16904302364755333,7,10,250,1.3711026630842884,0.5915545712376531,1.3834848679485625,0.8053276479510271,COMPLETE
