number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
15,0.9541444336660747,2026-05-29 16:01:48.367679,2026-05-29 16:04:59.113615,0 days 00:03:10.745936,0.6573260039820706,0.1849066009577858,9,20,100,1.6799418076549977,0.5170852397810711,1.5872719099909907,0.8373791499008264,COMPLETE
16,0.9531589207556983,2026-05-29 16:04:59.113995,2026-05-29 16:10:49.582134,0 days 00:05:50.468139,0.7238803118866866,0.0677485020437437,10,17,150,1.1603028872888212,0.36602188422226334,0.5197688215713852,0.933686099353464,COMPLETE
17,0.9478380613746172,2026-05-29 16:10:49.616065,2026-05-29 16:11:51.067277,0 days 00:01:01.451212,0.8027105027486668,0.10242385252107383,8,8,100,1.4134374205994067,0.6424928306119992,1.59824408686673,0.8160380080454376,PRUNED
18,0.9549840672856036,2026-05-29 16:11:51.067626,2026-05-29 16:15:08.912054,0 days 00:03:17.844428,0.6479553907926004,0.20787688063220297,8,18,150,1.7350203915710634,0.3971374921271986,1.0989419724782095,0.9267012633469132,COMPLETE
19,0.9412227461247133,2026-05-29 16:15:08.912391,2026-05-29 16:17:15.697421,0 days 00:02:06.785030,0.6358633453707446,0.040359456141514524,8,18,150,1.7369483382829713,0.41815408228207424,1.0617636766760472,0.9183256349774025,PRUNED
20,0.9536987665423696,2026-05-29 16:17:15.697757,2026-05-29 16:20:15.572011,0 days 00:02:59.874254,0.6581728671822838,0.1998168339802509,6,18,275,1.9788569568065049,0.17434524265575488,1.0597848741128608,0.9867994570751268,COMPLETE
21,0.9545198074965466,2026-05-29 16:20:15.572397,2026-05-29 16:22:29.128430,0 days 00:02:13.556033,0.7050839706306623,0.2341223251800811,9,7,125,1.5654945905665687,0.4498921061658454,1.3442462504604706,0.8668534044142104,COMPLETE
22,0.954741233563929,2026-05-29 16:22:29.146938,2026-05-29 16:24:56.534711,0 days 00:02:27.387773,0.6842984488623997,0.22358127514347892,9,7,150,1.812251029683354,0.4575823354467789,1.2370934163106584,0.8448518160921792,COMPLETE
23,0.9525070016581689,2026-05-29 16:24:56.535120,2026-05-29 16:26:55.892556,0 days 00:01:59.357436,0.6020871260880774,0.108727640227594,8,19,150,1.8343346291991582,0.5919687123127271,1.1835722818252499,0.7740770533048056,PRUNED
24,0.9553765922287983,2026-05-29 16:26:55.892929,2026-05-29 16:30:15.640936,0 days 00:03:19.748007,0.768161428016813,0.15526306637700193,9,12,200,1.7479807837753771,0.7105478074441666,1.0547913757551959,0.8466830325336187,COMPLETE
25,0.9209079919165538,2026-05-29 16:30:15.703267,2026-05-29 16:30:58.636691,0 days 00:00:42.933424,0.7609600257803818,0.15067264669453445,3,12,200,1.2765155564825308,0.665786435121108,1.0336448335988657,0.9316754076154603,PRUNED
26,0.9509998668583662,2026-05-29 16:30:58.636972,2026-05-29 16:32:46.833203,0 days 00:01:48.196231,0.853631413661941,0.06414717508858574,8,16,200,1.6534705236392169,0.7396080967535653,0.928458744413692,0.909354978313975,PRUNED
27,0.9524363868288669,2026-05-29 16:32:46.833939,2026-05-29 16:36:24.847975,0 days 00:03:38.014036,0.7346778976394466,0.11895474598796987,10,19,75,1.4596120152499554,0.5340564476542813,0.5809114632039067,0.9523072687648505,COMPLETE
28,0.9551803144498617,2026-05-29 16:36:24.853247,2026-05-29 16:39:24.268133,0 days 00:02:59.414886,0.77724116912608,0.18080916850193152,9,12,175,1.7851796183044035,0.34591777730511,1.4171763591839242,0.8471889074401677,COMPLETE
29,0.9516353436857594,2026-05-29 16:39:24.276709,2026-05-29 16:40:48.795251,0 days 00:01:24.518542,0.7816886739604734,0.08635052761438361,7,12,250,1.977912375194479,0.2436931836611012,1.4096746203703432,0.8378892270720142,PRUNED
30,0.9552235665445099,2026-05-29 16:40:48.795582,2026-05-29 16:44:23.536848,0 days 00:03:34.741266,0.8353355370755438,0.16932534754755837,9,11,225,1.8419676587468112,0.33158729474470855,1.4288382350363156,0.7934321918890359,COMPLETE
31,0.9552041445441508,2026-05-29 16:44:23.537261,2026-05-29 16:48:00.828350,0 days 00:03:37.291089,0.866954486636532,0.15732062436027835,9,11,225,1.8609660172482148,0.32946982072726655,1.4969523213420708,0.8136158235347329,COMPLETE
32,0.9551672833751791,2026-05-29 16:48:00.860996,2026-05-29 16:51:58.083913,0 days 00:03:57.222917,0.9086209385003359,0.15802078083150398,9,10,250,1.9096122370706343,0.20750319272232065,1.538402041815372,0.7997683145891779,COMPLETE
33,0.954891468090042,2026-05-29 16:51:58.084932,2026-05-29 16:56:44.890349,0 days 00:04:46.805417,0.8807997182740033,0.13203094762602066,10,11,225,1.6326989851352913,0.6775011764877764,1.47415041335799,0.7286156507255409,COMPLETE
34,0.9547444287282048,2026-05-29 16:56:44.891306,2026-05-29 17:00:36.733721,0 days 00:03:51.842415,0.8246951235502965,0.24166821210404527,9,13,250,1.859085382744771,0.31470877879724674,1.6519552733698735,0.770398010084483,COMPLETE
35,0.9551580009804731,2026-05-29 17:00:36.734147,2026-05-29 17:06:26.336239,0 days 00:05:49.602092,0.9379247286354849,0.08845504921159214,10,11,275,1.3471645106115262,0.47001992361630063,1.352805033521946,0.7711457396992168,COMPLETE
36,0.9501056332538037,2026-05-29 17:06:26.520746,2026-05-29 17:08:31.847461,0 days 00:02:05.326715,0.8142232852356254,0.042684940820683595,9,9,200,1.5390207544741406,0.8287931271359863,1.273075612335502,0.8207207208916195,PRUNED
