model,descriptor,property,pca,R2,Spearman
mtgp_2,soap,G_Voigt,50,0.2531991063160514,0.5602915358582468
mtgp_2,soap,G_VRH,10,0.0212852593163808,0.3330056026649596
mtgp_2,soap,G_VRH,25,0.0066873265605003,0.3110001005829934
mtgp_2,soap,G_VRH,50,0.2388608809530224,0.5554668481178635
mtgp_2,soap,G_Reuss,10,0.021254867900123,0.3077640124753141
mtgp_2,soap,G_Reuss,25,0.0088159757417086,0.2997829197503334
mtgp_2,soap,G_Reuss,50,0.2122104171853705,0.5305607404221094
mtgp_2,soap,elastic_anisotropy,10,-0.0028291859002705,0.0002737076502058
mtgp_2,soap,elastic_anisotropy,25,-0.0042518556341088,0.0415596848660237
mtgp_2,soap,elastic_anisotropy,50,-0.0052578889634428,0.153388365129915
mtgp_2,soap,poisson_ratio,10,-0.0057068648883085,0.1751585789526187
mtgp_2,soap,poisson_ratio,25,0.0243799976960837,0.2629272043593053
mtgp_2,soap,poisson_ratio,50,0.1152463650940694,0.3740348840922868
mtgp_2,uma,K_Voigt,10,0.1085293144937415,0.3813769925094946
mtgp_2,uma,K_Voigt,25,0.552021282603808,0.7552438917487548
mtgp_2,uma,K_Voigt,50,0.6110551711973307,0.8068286207079064
mtgp_2,uma,K_VRH,10,0.1081294842508469,0.3801679032109381
mtgp_2,uma,K_VRH,25,0.5528934493607464,0.7555715878918968
mtgp_2,uma,K_VRH,50,0.6124146305010338,0.8072693300553722
mtgp_2,uma,K_Reuss,10,0.1051305043793961,0.3750013450893432
mtgp_2,uma,K_Reuss,25,0.5405933241994831,0.7465981742891131
mtgp_2,uma,K_Reuss,50,0.5991220867179596,0.798028650827316
mtgp_2,uma,G_Voigt,10,0.0887779466892196,0.3691205450109459
mtgp_2,uma,G_Voigt,25,0.4471439788866801,0.6989289805860615
mtgp_2,uma,G_Voigt,50,0.5121029079817443,0.7527608792715759
mtgp_2,uma,G_VRH,10,0.0897311640406541,0.3692992384466776
mtgp_2,uma,G_VRH,25,0.4472153641253806,0.692789796065626
mtgp_2,uma,G_VRH,50,0.5110393250912029,0.7449962968533684
mtgp_2,uma,G_Reuss,10,0.0851033918978677,0.355659331050223
mtgp_2,uma,G_Reuss,25,0.4211972549882268,0.6599539420524593
mtgp_2,uma,G_Reuss,50,0.4844950920560434,0.712802138520233
mtgp_2,uma,elastic_anisotropy,10,-0.0035223769166322,0.1182939750649966
mtgp_2,uma,elastic_anisotropy,25,-0.0038458089634198,0.2192798295631727
mtgp_2,uma,elastic_anisotropy,50,-0.0038452678916706,0.295847989386837
mtgp_2,uma,poisson_ratio,10,-0.0080325328109073,0.1491622520621171
mtgp_2,uma,poisson_ratio,25,0.268007940426204,0.5216576706770869
mtgp_2,uma,poisson_ratio,50,0.3356916645307349,0.5796317538877906
dgp,mace,K_Voigt,10,0.8687380999713936,0.9368684948858768
dgp,mace,K_Voigt,25,0.8913659932387729,0.9510059894896556
dgp,mace,K_Voigt,50,-0.0298721536644145,-0.0083566325675544
dgp,mace,K_VRH,10,0.8379754845389582,0.9251745639488844
dgp,mace,K_VRH,25,0.865026144461876,0.9389100071632376
dgp,mace,K_VRH,50,-0.0509710257988914,-0.002504872771117
dgp,mace,K_Reuss,10,0.7865432850086289,0.9049969626504905
dgp,mace,K_Reuss,25,0.8243241990800275,0.9197038610251624
dgp,mace,K_Reuss,50,-0.027985390386467,-0.0140340180170963
dgp,mace,G_Voigt,10,0.6709540717209022,0.8482246101002394
dgp,mace,G_Voigt,25,0.6996342109244409,0.8761606474603074
dgp,mace,G_Voigt,50,-0.0242416560382771,-0.0085440366605483
dgp,mace,G_VRH,10,0.6352465282309732,0.8355031494005679
dgp,mace,G_VRH,25,0.6590549364100597,0.8609628866374914
dgp,mace,G_VRH,50,-0.0378459721275112,0.0033852892352318
dgp,mace,G_Reuss,10,0.5575570863062451,0.7870282051918824
dgp,mace,G_Reuss,25,0.6025231429666561,0.8187657401251196
dgp,mace,G_Reuss,50,-0.0356285471194156,-0.0055469779450505
dgp,mace,elastic_anisotropy,10,-0.0092173109853466,0.1589376429543232
dgp,mace,elastic_anisotropy,25,-0.0075717052340865,0.2162290409871914
dgp,mace,elastic_anisotropy,50,-0.0039444874093199,-0.027746946924678
dgp,mace,poisson_ratio,10,0.3673277726561905,0.6257934571007299
dgp,mace,poisson_ratio,25,0.364435045353205,0.6163846925062977
dgp,mace,poisson_ratio,50,-0.017165457362935,-0.0205742682207987
dgp,orb,K_Voigt,10,0.8497678249812164,0.9336721949649742
dgp,orb,K_Voigt,25,0.6951063517863487,0.7600044820423124
dgp,orb,K_Voigt,50,-0.0042467422411642,-0.003414721412221
dgp,orb,K_VRH,10,0.8195162191657197,0.924819495188794
dgp,orb,K_VRH,25,0.6748587729909775,0.7562847289502014
dgp,orb,K_VRH,50,-0.002467844731619,0.0005445279899378
dgp,orb,K_Reuss,10,0.7646738458975515,0.9023813861109928
dgp,orb,K_Reuss,25,0.6400191875313366,0.7298532093965854
dgp,orb,K_Reuss,50,-0.0025278551403791,0.0098122256254746
dgp,orb,G_Voigt,10,0.7489429318613636,0.8816258422603651
dgp,orb,G_Voigt,25,0.6371785622657974,0.7324572967990873
dgp,orb,G_Voigt,50,-0.0079852025323219,-0.0176116543807056
dgp,orb,G_VRH,10,0.6819442310846118,0.8694212499663552
dgp,orb,G_VRH,25,0.5814206954552545,0.7249538285697631
dgp,orb,G_VRH,50,-0.0017285218714913,0.0097153813907209
dgp,orb,G_Reuss,10,0.5870776023814825,0.8243884458481107
dgp,orb,G_Reuss,25,0.4900004817491806,0.675393947577355
dgp,orb,G_Reuss,50,-0.0046471633666739,0.0055041472275058
dgp,orb,elastic_anisotropy,10,-0.0121767049187044,0.2508929361436859
dgp,orb,elastic_anisotropy,25,-0.0109955550605331,0.2142174099832957
dgp,orb,elastic_anisotropy,50,-0.003310440468221,0.0051403463664005
dgp,orb,poisson_ratio,10,0.4041229590695218,0.6510458101943467
dgp,orb,poisson_ratio,25,0.388736267896645,0.5656725528183468
dgp,orb,poisson_ratio,50,-0.0001407781712777,0.0242310645709024
dgp,soap,K_Voigt,10,0.2278339798277865,0.5297424312744838
dgp,soap,K_Voigt,25,0.3356305166452628,0.6609124450730475
dgp,soap,K_Voigt,50,0.086488655572718,0.1950114601390444
dgp,soap,K_VRH,10,0.2218750795880519,0.5227287845412072
dgp,soap,K_VRH,25,0.3347345384608425,0.6610630292033164
dgp,soap,K_VRH,50,0.0862549383080159,0.1669973097336605
dgp,soap,K_Reuss,10,0.2065445472360124,0.5134967945367267
dgp,soap,K_Reuss,25,0.3203873057190168,0.645763495981107
dgp,soap,K_Reuss,50,0.061858860547137,0.1841050778684216
dgp,soap,G_Voigt,10,0.1490175508806464,0.4824794675916666
